Unnamed: 0,code,kdj_golden_cross,kdj_death_cross,kdj_oversold,kdj_overbought,bias_golden_cross,bias_death_cross,macd_golden_cross,macd_death_cross,dma_golden_cross,dma_death_cross,boll_high_break,boll_mid_break,boll_low_break,rsi_golden_cross,rsi_death_cross,rsi_oversold,rsi_overbought,sector
0,A,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Healthcare
1,AA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Basic Materials
2,AACG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Consumer Defensive
3,AAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
4,AAME,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,Financial Services
5,AAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Industrials
6,AAOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
7,AAON,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Industrials
8,AAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Consumer Cyclical
9,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
10,AAT,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
11,AAU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Basic Materials
12,AAWW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
13,AB,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,
14,ABB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
15,ABBV,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Healthcare
16,ABC,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,Healthcare
17,ABCB,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Financial Services
18,ABEO,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,Healthcare
19,ABEV,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Consumer Defensive
20,ABG,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,Consumer Cyclical
21,ABIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
22,ABM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
23,ABMD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
24,ABR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,ABT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
26,ABTX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial Services
27,ABUS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
28,AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial Services
29,ACA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
30,ACAD,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Healthcare
31,ACB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Healthcare
32,ACBI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
33,ACC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,ACCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Industrials
35,ACEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Consumer Cyclical
36,ACER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
37,ACGL,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Financial Services
38,ACGLO,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,
39,ACGLP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
40,ACH,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Basic Materials
41,ACHC,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Healthcare
42,ACHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
43,ACIU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
44,ACIW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Technology
45,ACLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
46,ACM,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Industrials
47,ACMR,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,Technology
48,ACN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Technology
49,ACNB,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Financial Services
50,ACOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthcare
51,ACP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,ACRE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,ACRS,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,Healthcare
54,ACRX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
55,ACST,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Healthcare
56,ACTG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Industrials
57,ACU,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,Consumer Defensive
58,ACV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
59,ADAP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Healthcare
60,ADBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Technology
61,ADC,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
62,ADES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Industrials
63,ADI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology
64,ADIL,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Healthcare
65,ADM,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,Consumer Defensive
66,ADMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
67,ADMP,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Healthcare
68,ADNT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Consumer Cyclical
